dollar,bang,money,n000,make,yesno
0.437,0.145,0.0,0.0,0.0,0
0.263,0.461,0.0,0.95,0.0,0
0.707,0.862,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.829,2.766,0.0,0.0,0.0,0
0.097,0.39,0.16,0.08,0.08,0
0.305,0.75,0.69,0.06,0.48,0
0.305,0.75,0.69,0.06,0.48,0
0.0,2.453,0.0,0.0,0.0,0
0.0,0.931,0.0,0.0,0.0,0
0.347,1.62,0.0,0.8,0.8,0
0.162,0.0,0.33,0.0,0.0,0
0.159,0.159,0.14,0.0,0.07,0
0.161,0.0,0.33,0.0,0.0,0
0.707,0.862,0.0,0.0,0.0,0
0.0,0.043,0.0,0.31,0.0,0
0.083,0.665,0.0,0.0,0.0,0
0.135,0.271,0.0,0.0,0.0,0
0.127,0.204,0.44,0.0,0.14,0
0.0,0.784,0.0,0.0,0.0,0
0.203,0.203,0.25,0.0,0.0,0
0.09,0.09,0.0,0.0,0.58,0
0.127,0.204,0.44,0.0,0.14,0
0.127,0.204,0.44,0.0,0.14,0
0.0,0.829,0.0,0.0,0.0,0
0.124,0.041,0.0,0.0,0.25,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.487,0.0,0.0,0.0,0
0.057,0.085,0.0,0.35,0.0,0
0.267,0.401,0.0,0.95,0.0,0
0.0,0.487,0.0,0.0,0.0,0
0.0,0.315,0.0,0.0,0.0,0
0.0,0.487,0.0,0.0,0.0,0
0.18,0.54,0.0,0.0,0.0,0
0.784,0.764,0.0,0.0,0.0,0
0.03,0.632,0.0,0.0,0.0,0
0.129,1.453,0.6,0.2,0.4,0
0.0,0.531,0.0,0.0,0.0,0
0.753,0.732,0.0,0.0,0.0,0
0.0,0.867,0.0,0.0,0.0,0
0.0,1.117,0.0,0.0,0.0,0
0.167,0.01,0.06,0.84,0.18,0
0.065,0.785,0.2,0.0,0.1,0
0.21,0.841,0.0,0.0,0.0,0
0.057,1.158,0.35,0.0,0.17,0
0.103,0.348,0.17,0.08,0.08,0
0.036,0.841,0.23,0.0,0.0,0
0.032,0.0,0.0,0.0,0.0,0
0.263,0.702,0.52,1.58,0.0,0
0.157,0.0,0.32,0.0,0.0,0
0.318,0.715,0.0,0.54,0.54,0
0.253,0.759,0.0,0.0,1.63,0
0.107,0.242,0.18,0.0,0.0,0
0.0,0.411,0.0,0.0,0.35,0
0.0,0.0,0.0,0.0,0.34,0
0.107,0.295,0.18,0.0,0.0,0
0.459,0.551,0.0,0.64,0.64,0
0.159,0.0,0.32,0.0,0.0,0
0.369,0.554,0.0,0.64,0.64,0
0.07,0.07,0.0,0.18,0.0,0
0.0,0.532,0.0,0.0,0.0,0
0.0,0.309,0.0,0.0,0.0,0
0.0,0.129,0.0,0.0,0.0,0
0.0,1.133,0.0,0.0,0.0,0
0.0,0.718,0.0,0.0,0.0,0
0.663,0.906,0.0,0.0,0.0,0
0.167,0.01,0.06,0.85,0.18,0
0.094,0.322,0.0,0.11,0.0,0
0.0,1.284,0.0,0.0,0.0,0
0.269,0.672,0.0,0.0,0.0,0
0.199,0.0,1.31,0.0,0.0,0
0.107,0.268,0.18,0.0,0.0,0
0.107,0.241,0.18,0.0,0.0,0
0.157,0.0,0.32,0.0,0.0,0
0.0,0.511,0.0,0.0,0.0,0
0.0,1.152,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.511,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.681,0.754,0.0,0.0,0.0,0
0.137,0.275,1.0,1.0,0.0,0
0.175,0.351,0.0,0.0,0.0,0
0.67,0.693,0.0,0.0,0.0,0
0.0,1.434,0.0,0.0,0.0,0
0.201,0.0,1.31,0.0,0.0,0
0.23,0.23,0.0,0.0,0.0,0
0.0,0.217,0.0,0.0,0.0,0
0.209,0.209,0.76,0.25,0.25,0
0.181,0.604,0.0,0.36,0.0,0
0.37,0.462,0.0,0.64,0.64,0
0.062,0.31,0.0,0.0,0.0,0
0.23,0.23,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.159,0.0,0.32,0.0,0.0,0
0.198,0.0,1.29,0.0,0.0,0
0.23,0.23,0.0,0.0,0.0,0
0.3,0.501,0.0,0.63,0.63,0
0.463,0.834,0.0,0.65,0.65,0
1.121,0.0,0.0,0.0,0.19,0
0.062,0.31,0.0,0.0,0.0,0
0.038,0.406,0.0,0.0,0.08,0
0.37,0.462,0.0,0.64,0.64,0
0.062,0.31,0.0,0.0,0.0,0
0.181,0.604,0.0,0.36,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.23,0.23,0.0,0.0,0.0,0
0.158,0.0,0.32,0.0,0.0,0
0.167,0.01,0.06,0.85,0.18,0
0.201,0.0,1.31,0.0,0.0,0
0.127,0.063,0.0,0.45,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.017,0.107,0.0,0.0,0.0,0
0.0,5.0,0.0,0.0,0.0,0
0.0,2.443,0.0,0.0,0.48,0
0.036,1.018,0.0,0.0,0.0,0
0.158,0.0,0.32,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.036,1.018,0.0,0.0,0.0,0
0.0,0.11,0.0,0.0,0.0,0
0.259,0.102,0.05,0.23,0.05,0
0.157,0.0,0.32,0.0,0.0,0
0.11,0.332,0.0,0.0,0.0,0
0.017,0.107,0.0,0.0,0.0,0
0.114,0.802,0.0,0.0,0.0,0
0.338,0.831,0.4,0.0,0.2,0
0.103,0.517,0.0,0.0,0.0,0
0.0,0.108,0.0,0.0,0.0,0
0.0,0.153,0.0,0.0,0.0,0
0.479,0.319,0.46,0.46,0.35,0
0.0,0.397,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.199,0.0,1.31,0.0,0.0,0
0.202,0.101,0.96,0.72,0.6,0
0.0,0.0,0.0,0.44,0.0,0
0.114,0.42,0.08,0.85,0.08,0
0.0,0.663,0.0,0.0,0.0,0
0.745,0.826,0.0,0.0,0.0,0
0.169,0.01,0.06,0.85,0.18,0
0.169,0.01,0.06,0.85,0.18,0
0.236,0.429,0.76,0.44,0.76,0
0.109,0.369,0.17,0.08,0.08,0
0.101,0.356,0.08,1.1,0.08,0
0.0,0.163,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.42,0.105,0.0,1.78,0.0,0
0.304,0.101,0.6,0.0,0.6,0
0.235,0.428,0.76,0.44,0.76,0
0.326,0.163,0.0,0.0,0.0,0
0.0,0.537,0.0,0.0,0.0,0
0.0,0.286,0.67,0.0,0.0,0
0.134,0.23,0.46,0.46,0.11,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.616,0.0,0.0,0.0,0
0.061,0.367,0.35,0.35,1.05,0
0.0,0.524,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.29,0
0.0,0.52,0.0,0.0,0.0,0
0.109,0.369,0.17,0.08,0.08,0
0.082,0.165,0.58,0.0,0.0,0
0.019,0.034,0.0,0.0,0.1,0
0.683,2.636,0.0,0.0,0.0,0
0.0,0.354,0.0,0.0,0.25,0
0.114,0.394,0.08,0.85,0.08,0
0.0,0.34,0.0,0.0,0.0,0
0.216,0.577,0.0,0.43,0.0,0
0.153,0.153,0.44,0.0,0.14,0
0.08,0.269,0.0,0.14,0.0,0
0.273,0.456,0.0,0.62,0.62,0
0.054,1.118,0.33,0.0,0.16,0
0.072,0.241,0.0,0.14,0.0,0
0.076,0.255,0.0,0.15,0.0,0
0.51,0.443,0.54,0.51,0.51,0
0.519,1.143,0.0,0.0,0.0,0
0.193,0.367,0.22,0.0,0.33,0
0.165,0.497,0.0,0.0,0.0,0
0.0,3.571,0.0,0.0,0.0,0
0.847,0.382,0.51,1.03,0.49,0
0.193,0.367,0.22,0.0,0.33,0
0.0,0.7,0.0,0.0,0.0,0
0.0,0.146,0.0,0.0,0.0,0
0.0,0.801,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.412,0.412,0.0,0.76,0.0,0
0.0,0.277,0.0,0.0,0.0,0
0.412,0.412,0.0,0.76,0.0,0
0.0,1.257,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.222,0.101,0.96,0.72,0.6,0
0.0,0.935,0.0,0.0,0.0,0
0.094,0.056,0.0,0.0,0.0,0
0.0,1.007,0.0,0.0,0.0,0
0.21,0.421,3.61,0.0,0.0,0
0.38,0.19,0.0,1.07,0.0,0
0.0,1.336,0.0,0.0,0.0,0
0.133,0.334,0.99,1.39,0.59,0
3.125,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.27,0
0.0,0.777,0.0,0.0,0.0,0
0.0,0.369,0.0,0.0,0.0,0
0.196,0.373,0.22,0.0,0.33,0
0.041,0.041,0.0,0.0,0.12,0
0.041,0.041,0.0,0.0,0.12,0
0.046,0.89,0.31,0.0,0.31,0
0.177,0.8,0.51,0.0,0.0,0
0.336,0.084,0.0,1.44,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.171,0.057,0.0,0.35,0.0,0
0.251,0.251,0.0,0.0,0.0,0
0.186,0.186,0.0,0.0,0.0,0
0.0,0.187,0.0,0.0,0.0,0
0.0,0.203,0.0,0.0,0.0,0
0.0,0.176,0.0,0.0,0.0,0
0.0,1.385,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.389,0.0,0.0,1.08,0.0,0
0.0,0.486,0.0,0.0,0.0,0
3.305,0.141,1.47,0.31,0.21,0
0.04,0.0,0.0,0.23,0.0,0
0.085,0.341,0.36,0.0,0.09,0
0.0,0.546,0.0,0.0,0.0,0
0.0,2.631,0.0,0.0,0.0,0
0.0,5.844,0.0,0.0,0.0,0
0.0,1.081,0.0,0.0,0.0,0
0.0,0.574,0.0,0.0,0.0,0
0.0,0.536,0.0,0.0,0.0,0
0.156,0.0,0.32,0.0,0.0,0
0.383,0.191,0.0,1.08,0.0,0
0.0,3.448,0.0,0.0,0.0,0
0.383,0.191,0.0,1.08,0.0,0
0.053,0.0,0.0,0.05,0.0,0
0.0,0.291,0.0,0.0,0.0,0
0.065,0.816,0.2,0.0,0.0,0
0.0,4.347,0.0,0.0,0.0,0
0.065,0.016,0.0,0.75,0.1,0
0.225,0.902,0.49,0.0,0.65,0
0.151,0.318,0.19,0.39,0.09,0
0.0,0.396,0.0,0.0,0.0,0
0.156,0.297,0.2,0.4,0.1,0
0.0,1.096,0.0,0.0,0.0,0
0.114,0.394,0.08,0.85,0.08,0
0.173,0.26,0.0,2.05,0.25,0
0.171,0.171,0.0,2.1,0.0,0
0.162,0.518,0.1,0.51,0.0,0
0.156,0.297,0.2,0.4,0.1,0
0.0,0.19,0.0,0.0,0.0,0
0.264,0.611,1.04,0.1,0.0,0
0.634,0.422,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.111,0.111,0.62,0.0,0.0,0
0.338,0.492,0.29,0.47,0.23,0
0.509,0.478,0.58,0.51,0.51,0
0.0,0.0,0.0,0.0,0.0,0
0.408,0.408,0.0,1.12,0.0,0
0.761,0.084,0.0,3.38,0.0,0
0.114,0.394,0.08,0.85,0.08,0
0.0,0.264,0.0,0.0,0.0,0
0.233,0.233,0.0,1.42,0.0,0
0.173,0.13,0.0,0.31,0.0,0
0.151,1.06,0.26,0.53,0.4,0
0.129,0.843,0.0,0.0,0.0,0
0.367,0.919,0.0,1.85,0.0,0
0.493,0.507,0.53,0.45,0.32,0
0.151,0.0,0.87,0.0,0.0,0
0.466,0.093,0.0,1.59,0.0,0
0.069,0.556,0.7,0.61,0.35,0
1.961,0.387,1.36,0.68,0.51,0
0.0,0.311,0.0,0.0,0.53,0
0.101,0.101,0.06,0.06,0.26,0
0.626,0.208,0.0,0.0,0.0,0
0.0,0.291,0.0,1.05,0.0,0
0.0,0.057,0.0,0.0,0.31,0
0.111,1.116,0.0,0.0,0.0,0
0.11,1.103,0.0,0.0,0.0,0
4.017,0.378,0.0,0.62,0.0,0
0.191,0.42,0.11,0.59,0.0,0
0.031,0.249,0.09,0.36,0.09,0
0.41,0.082,0.0,1.41,0.0,0
0.128,0.153,0.44,0.0,0.14,0
0.0,0.125,0.0,0.0,0.0,0
0.128,0.153,0.44,0.0,0.14,0
0.5,0.456,0.6,0.37,0.5,0
0.223,0.382,0.0,0.61,0.0,0
0.74,0.211,0.0,2.85,0.57,0
0.763,0.109,0.0,2.95,0.59,0
0.121,0.121,0.4,0.6,0.0,0
0.216,0.185,0.0,0.19,0.19,0
0.632,0.21,0.0,0.0,0.0,0
0.61,0.203,0.0,0.0,0.0,0
0.065,0.016,0.0,0.74,0.0,0
0.0,0.537,0.9,0.0,0.9,0
0.17,0.0,0.0,0.0,0.0,0
0.0,0.153,0.0,0.0,0.0,0
0.5,0.142,0.0,0.46,0.0,0
0.118,0.094,0.42,0.14,0.28,0
0.0,0.0,0.0,0.0,0.0,0
0.353,0.088,0.55,0.0,0.0,0
0.0,0.0,12.5,0.0,0.0,0
0.0,0.121,0.0,0.0,0.0,0
0.0,0.0,1.47,0.0,0.0,0
0.0,0.324,0.26,0.0,0.26,0
0.048,0.0,0.0,0.0,0.33,0
0.0,0.11,0.0,0.0,0.0,0
0.132,1.689,0.61,0.2,0.41,0
0.0,0.774,0.0,0.0,0.0,0
0.0,0.111,0.0,0.0,0.0,0
0.505,0.439,0.54,0.5,0.5,0
0.042,1.289,0.84,0.28,0.56,0
0.113,0.213,0.66,0.0,0.33,0
0.0,0.215,0.34,0.0,0.0,0
0.299,1.082,1.03,0.12,0.64,0
0.092,0.0,0.78,0.0,0.0,0
0.0,0.616,0.0,0.0,0.0,0
0.232,0.232,0.68,0.68,0.0,0
0.156,0.0,0.32,0.0,0.0,0
0.0,0.368,0.0,0.0,0.0,0
0.0,0.225,0.0,0.0,0.0,0
0.0,0.223,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,2.43,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.535,0.363,0.52,0.63,0.52,0
0.0,0.649,0.0,0.0,0.0,0
0.189,0.189,0.0,0.0,0.0,0
0.0,0.699,0.0,0.0,0.0,0
0.034,0.375,0.0,0.0,0.5,0
0.176,0.176,0.51,0.0,1.03,0
0.308,0.745,1.38,0.0,1.18,0
0.31,0.749,1.38,0.0,1.18,0
0.306,0.741,1.38,0.0,1.18,0
0.0,0.0,0.0,0.0,0.0,0
0.338,0.0,0.0,0.0,0.0,0
0.177,1.316,0.55,0.13,0.13,0
0.023,0.095,0.0,0.46,0.0,0
0.03,0.242,0.09,0.36,0.09,0
0.182,1.294,0.55,0.13,0.13,0
0.31,0.749,1.38,0.0,1.18,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.125,0.0,0.0,0.0,0
0.108,0.072,0.47,0.0,0.0,0
0.0,0.277,0.0,0.0,2.32,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.334,0.0,0.0,0.0,0
0.134,0.574,0.22,0.11,0.45,0
0.0,1.255,0.0,0.0,0.0,0
0.12,0.034,0.0,0.55,0.0,0
0.0,0.274,0.0,0.0,0.0,0
0.236,0.388,1.14,1.82,0.68,0
0.0,0.0,0.0,0.0,0.0,0
0.17,0.085,0.0,0.0,0.0,0
0.0,3.333,0.0,0.0,0.0,0
0.0,0.546,0.9,0.0,0.9,0
0.626,0.322,0.35,1.09,0.49,0
0.183,0.612,0.79,1.18,0.39,0
0.0,0.192,0.0,0.0,0.0,0
0.055,1.718,0.34,0.0,0.17,0
0.403,0.359,0.25,0.77,0.51,0
0.107,0.321,0.0,0.62,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.519,0.0,0.84,0.0,0
0.0,0.132,0.71,0.0,0.0,0
0.03,0.246,0.09,0.36,0.09,0
0.132,0.265,0.45,0.45,0.11,0
0.361,0.433,0.0,2.2,0.44,0
0.152,0.474,0.1,0.6,0.1,0
0.132,0.265,0.45,0.45,0.11,0
0.585,0.438,0.46,0.38,0.42,0
0.07,2.115,0.0,0.45,0.0,0
0.176,0.392,0.22,0.0,0.33,0
0.0,0.0,0.0,0.0,0.0,0
0.109,1.096,0.0,0.0,0.0,0
0.0,0.218,0.0,2.24,0.0,0
0.0,0.125,0.0,1.36,0.0,0
0.0,0.218,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.224,0.404,0.29,0.09,0.19,0
0.0,0.113,0.0,0.0,0.0,0
0.247,0.19,0.49,0.39,0.79,0
0.309,0.206,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.888,0.414,0.0,1.47,0.0,0
0.0,0.77,0.0,0.0,0.0,0
0.384,0.928,0.3,0.0,0.1,0
0.0,0.0,0.0,0.0,0.0,0
0.528,0.452,0.63,0.38,0.52,0
0.0,0.0,0.0,0.0,0.0,0
